id,sku,name,status,pdf_code,range,resolution,accuracy,notes
1252,2220-8170,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-300mm/0-12,matched,2220-8170,"0-300/0-12""",,±0.15,
1253,2220-8175,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-500mm/0-20,matched,2220-8175,"0-500/0-20""",,±0.05,
1254,2220-8180,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-500mm/0-20,matched,2220-8180,"0-500/0-20""",,±0.20,
1255,2220-8185,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-500mm/0-20,matched,2220-8185,"0-500/0-20""",,±0.24,
1256,2220-8190,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-600mm/0-24,matched,2220-8190,"0-600/0-24""",,±0.05,
1257,2220-8200,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-600mm/0-24,matched,2220-8200,"0-600/0-24""",,±0.14,
1258,2220-8205,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-600mm/0-24,matched,2220-8205,"0-600/0-24""",,±0.22,
1259,2220-8210,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-600mm/0-24,matched,2220-8210,"0-600/0-24""",,±0.26,
1260,2220-8215,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-800mm/0-32,matched,2220-8215,"0-800/0-32""",,±0.14,
1261,2220-8220,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-800mm/0-32,matched,2220-8220,"0-800/0-32""",,±0.18,
1262,2220-8225,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-1000mm/0-40,matched,2220-8225,"0-1000/0-60""",,±0.14,
1263,2220-8230,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-1000mm/0-40,matched,2220-8230,"0-1000/0-60""",,±0.18,
1264,2240-0025,کولیس اندازه گی — 0-25mm,matched,2240-0025,"10-150/0.39-6""","0.01/0.0005""",±0.04,
1265,2240-0026,کولیس اندازه گی — 0-200mm/ -8,matched,2240-0026,"10-200/0.39-8""","0.01/0.0005""",±0.04,
1266,2240-0027,کولیس اندازه گی — 0-300mm/ -12,matched,2240-0027,"10-300/0.39-12""","0.01/0.0005""",±0.05,
1267,2250-2105,کولیس عمق سنج دیجیتال با نوک — 0-150mm/0-6,matched,2250-2105,"0-150/0-6""","0.01/0.005""","0.03/0.0015""",
1268,2345-4005,ست 4عددي زاويه كوليس ديجيتال -پالستيیکي ،عمق سنج ديجيتال،تراز ديجيتال,unmatched,,,,,sku_not_in_pdf
1269,2346-1015,پی گیج 51عددی 20 — 0-1015mm,unmatched,,,,,sku_not_in_pdf
1270,2406-1005,کولیس دیجیتال فک کارباید — 0-150mm,matched,2406-1005,"0-150/0-6""","0.01/0.0005""",±0.03,
1271,2406-1010,کولیس دیجیتال فک کارباید — 0-200mm,matched,2406-1010,"0-200/0-8""","0.01/0.0005""",±0.03,
1272,2410-8105,کولیس دیجیتال صفحه نمایش بزرگ — 0-150mm,unmatched,,,,,sku_not_in_pdf
1273,2410-8110,کولیس دیجیتال صفحه نمایش بزرگ — 0-200mm,unmatched,,,,,sku_not_in_pdf
1274,2570-5105,کولیس اندازه گی — 0-150mm/ -6,matched,2570-5105,"10-150/0.39-6""","0.01/0.0005""","0.03/0.0015""",
1275,2570-5110,کولیس اندازه ر,matched,2570-5110,"11-200/0.43-8""","0.01/0.0005""","0.03/0.0015""",
1276,2570-5115,کولیس اندازه ر,matched,2570-5115,"12-300/0.47-12""","0.01/0.0005""","0.04/0.0015""",
1277,2610-8105,کولیس دیجیتال ضد آب صفحه — 0-150mm,unmatched,,,,,sku_not_in_pdf
1278,2710-1105,کولیس ورنیه دو فک بلند — 0-300mm,conflict,2710-1105,,,,"conflict_ranges:['0-300/0-12""', '0-300mm/0-12""']"
1279,2805-0005,کولیس خط ی — 0-200mm,matched,2805-0005-A,"0-200/0-8""","0.1/1/128""",±0.1,
1280,3001-0105,/0- کولیس پایه دار (ارتفاع سنج )استنلس — 0-300mm,matched,3001-0105,"0-300/0-12""","0.02/0.001""",,
1281,3001-0120,/0- کولیس پایه دار (ارتفاع سنج )استنلس — 0-600mm,matched,3001-0120,"0-600/0-24""","0.02/0.001""",,
1282,3001-0125,/0- کولیس پایه دار (ارتفاع سنج )استنلس — 0-1000mm,matched,3001-0125,"0-1000/0-40""",,,
1283,3001-1001,دنباله عمق سنج کولیس — 0-1001mm,conflict,3001-1001,,,,"conflict_ranges:['0-150mm/6', '0-25/0-1""']"
1284,3001-1901,عمق سنج مونوبالک ورنیه پایه اندازه — 0-150mm,matched,3001-1901-A,0-150,0.02,±0.03,
1285,3001-1903,عمق سنج مونوبالک ورنیه پایه اندازه — 0-200mm,matched,3001-1903-A,0-200,0.02,±0.03,
1286,3001-1905,عمق سنج مونوبالک ورنیه پایه اندازه — 0-300mm,matched,3001-1905-A,0-300,0.02,±0.04,
1287,3004-0003,ساعتي -ديجيتال شارژی كوليس — 0-150mm,unmatched,,,,,sku_not_in_pdf
1288,3004-0005,ساعتي -ديجيتال كوليس پورتابل — 0-150mm,matched,3004-0005,"0-150/0-6""","0.01/0.0005""/1/128""",±0.02,
1289,3004-1005,كوليس پورتابل ساعت — 0-200mm,matched,3004-1005,"0-200/0-8""","0.01/0.0005""/1/128""",±0.03,
1290,3004-2005,كوليس پورتابل ساعت — 0-300mm,matched,3004-2005,"0-300/0-12""","0.01/0.0005""/1/128""",±0.03,
1291,3110-6105,/0- کولیس پایه دار (ارتفاع سنج ) ذره ربیر — 0-300mm,matched,3110-6105-A,"0-300/0-12""","0.02/0.001""",±0.03,
1292,3110-6120,/0- کولیس پایه دار (ارتفاع سنج ) ذره ربیر — 0-600mm,matched,3110-6120-A,"0-600/0-24""","0.02/0.001""",±0.06,
1293,3130-8115,كوليس پايه دار ديجيتال (ارتفاع -سنج) — 0-300mm,matched,3130-8115,"0-300/0-12""","0.01/0.0005""",±0.04,
1294,3130-8119,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-300mm/0-12,matched,3130-8119,"0-300/0-12""","0.01/0.0005""",±0.04,
1295,3130-8120,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-500mm/0-20,matched,3130-8120,"0-500/0-12""","0.01/0.0005""",±0.05,
1296,3130-8125,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-600mm/0-24,matched,3130-8125,"0-600/0-24""","0.01/0.0005""",±0.05,
1297,3130-8130,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-1000mm/0-40,matched,3130-8130,"0-1000/0-40""","0.01/0.0005""",±0.07,
1298,3221-1105,کولیس ارتفاع سنج ساعت — 0-300mm,matched,3221-1105-A,0-300,0.01,±0.04,
1299,3230-8105,کولیس پایه دار (ارتفاع سنج) دیجیتایل — 0-300mm/0-12,matched,3230-8105-A,"0-300/0-12""","0.01/0.0005""",±0.04,
1300,3230-8110,کولیس پایه دار (ارتفاع سنج) دیجیتایل — 0-500mm/0-20,matched,3230-8110-A,"0-500/0-20""","0.01/0.0005""",±0.05,
1301,3230-8115,کولیس پایه دار (ارتفاع سنج) دیجیتایل — 0-600mm/0-24,matched,3230-8115-A,"0-600/0-24""","0.01/0.0005""",±0.05,
1302,3430-4110,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-300mm/0-12,unmatched,,,,,sku_not_in_pdf
1303,3430-4115,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-500mm/0-20,unmatched,,,,,sku_not_in_pdf
1304,3430-4120,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-600mm/0-24,unmatched,,,,,sku_not_in_pdf
1305,3530-0005,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-300mm/0-12,matched,3530-0005,"0-1500/0-60""","0.01/0.0005""",±0.11,
1306,3530-0010,کولیس پایه دار (ارتفاع سنج) دیجیتال — 0-600mm/0-24,matched,3530-0010,"0-2000/0-80""","0.01/0.0005""",±0.14,
1307,4005-0090,/ میکرومی داخل سنج دیجیتال دو فک ی — 0-125mm/4-5,matched,4005-0090,"100-125/4-5""","0.001/0.00005""",±0.005,
1308,4005-0095,/ میکرومی داخل سنج دیجیتال دو فک ی — 0-95mm,matched,4005-0095,"125-150/5-6""","0.001/0.00005""",±0.005,
1309,4005-0100,/ میکرومی داخل سنج دیجیتال دو فک ی — 0-175mm/6-7,matched,4005-0100,"150-175/6-7""","0.001/0.00005""",±0.005,
1310,4107-1005,میکرومی پیچ (رزوه) با ست پراپ 10 — 0-25mm,matched,4107-1005,0-25,0.01,,
1311,4111-5205,میکرومی خارج 1 — 0-25mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1312,4111-8102,میکرومی دیسیک — 0-25mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1313,4111-8104,میکرومی دیسیک 1,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1314,4111-8105,میکرومی خارج — 0-25mm,conflict,4111-8105,,,,"conflict_ranges:['0-150mm/6""', '0-25', '0-25/0-1""', '1.0-7.0']"
1315,4111-8106,میکرومی دیسیک 2 — 0-75mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1316,4111-8108,میکرومی دیسیک 3,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1317,4111-8110,میکرومی خارج 2,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1318,4111-8115,میکرومی خارج 3 — 0-75mm,matched,4111-8115-A,50-75,0.01,,
1319,4111-8120,میکرومی خارج 4,matched,4111-8120-A,75-100,0.01,,
1320,4111-8125,میکرومی خارج 5 — 0-125mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1321,4111-8130,میکرومی خارج 6,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1322,4111-8620,میکرومی دیسیک 3 — 0-125mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1323,4111-8625,میکرومی دیسیک 3,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1324,4111-8630,میکرومی دیسیک 3 — 0-175mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1325,4111-8635,میکرومی دیسیک 7,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1326,4111-8640,میکرومی دیسیک 8 — 0-225mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1327,4111-8645,میکرومی دیسیک (بدون چرخش) 9,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1328,4111-8650,میکرومی دیسیک (بدون چرخش) 10 — 0-275mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1329,4111-8655,میکرومی دیسیک (بدون چرخش) 11,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1330,4111-9105,میکرومی خارج — 0-25mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1331,4111-9110,میکرومی خارج,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1332,4111-9120,میکرومی خارج 2,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1333,4111-9130,میکرومی خارج 3,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1334,4112-7435,میکرومی خارج 7 — 0-175mm,matched,4112-7435,150-175mm,0.01mm,,
1335,4112-7440,میکرومی خارج 8,matched,4112-7440,175-200mm,0.01mm,,
1336,4112-7445,میکرومی خارج 9 — 0-225mm,matched,4112-7445,200-225mm,0.01mm,,
1337,4112-7450,میکرومی خارج 11,matched,4112-7450,225-250mm,0.01mm,,
1338,4112-8145,میکرومی خارج 10 — 0-225mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1339,4112-8150,میکرومی خارج 12,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1340,4112-8155,میکرومی خارج 14 — 0-275mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1341,4112-8160,میکرومی خارج 15,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1342,4127-0005,/ ی پیچ ( رزوه ) دیجیتال IP65 — 0-25mm/0-1,unmatched,,,,,sku_not_in_pdf
1343,4137-4005,/ ی پیچ ( رزوه ) دیجیتال ضد — 0-25mm/0-1,unmatched,,,,,sku_not_in_pdf
1344,4146-1005,میکرومی پیچ پراپ 16 — 0-25mm,matched,4146-1005,0-25,0.002,,
1345,4146-1010,پاسومی خارج میکرومی 1 — 0-1010mm,matched,4146-1010,25-50,0.002,,
1346,4146-1015,پاسومی خارج میکرومی 2 — 0-75mm,matched,4146-1015,50-75,0.002,,
1347,4146-1020,پاسومی خارج میکرومی 3 — 0-1020mm,matched,4146-1020,75-100,0.002,,
1348,4146-5105,پاسومی خارج میکرومی 4 — 0-25mm,matched,4146-5105,0-25,0.001,,
1349,4210-2103,میکرومی دیجیتال یونیورسال (فک — 0-25mm/0-1,matched,4210-2103,"0-25/0-1""","0.001/0.00005""",,
1350,4210-2105,میکرومی خارج — 0-25mm/0-1,unmatched,,,,,sku_not_in_pdf
1351,4210-2106,میکرومی دیجیتال یونیورسال (فک,matched,4210-2106,"25-50/1""-2""","0.001/0.00005""",,
1352,4210-2110,میکرومی خارج,unmatched,,,,,sku_not_in_pdf
1353,4210-2125,میکرومی خارج — 0-125mm,unmatched,,,,,sku_not_in_pdf
1354,4210-2135,میکرومی خارج دیجیتال با شفت — 0-175mm/6-7,matched,4210-2135-A,"150-175/6""-7""","0.001/0.00005""",,
1355,4210-2140,میکرومی خارج دیجیتال با شفت,matched,4210-2140-A,"175-200/7""-8""","0.001/0.00005""",,
1356,4210-2145,میکرومی خارج دیجیتال با شفت — 0-225mm/8-9,matched,4210-2145-A,"200-225/8""-9""","0.001/0.00005""",,
1357,4210-2150,/ میکرومیی خارج دیجیتال با شفت,matched,4210-2150-A,"225-250/9""-10""","0.001/0.00005""",,
1358,4210-2155,میکرومی خارج دیجیتال با شفت — 0-275mm/10-11,matched,4210-2155-A,"250-275/10""-11""","0.001/0.00005""",,
1359,4210-2160,میکرومی خارج دیجیتال با شفت,matched,4210-2160-A,"275-300/11""-12""","0.001/0.00005""",,
1360,4220-2104,میکرومی خارج دیسیک دیجیتال رسی ع حرکت شفت بدون چرخش خروج — 0-25mm/0-1,matched,4220-2104,"0-25/0-1""","0.001/0.00005""","0.003/0.00015""",
1361,4220-2108,میکرومی خارج دیسیک دیجیتال رسی ع حرکت شفت بدون چرخش خروج,matched,4220-2108,"25-50/1-2""","0.001/0.00005""","0.003/0.00015""",
1362,4220-2109,میکرومی 2 — 0-75mm/2-3,matched,4220-2109,"50-75/2-3""","0.001/0.00005""","0.004/0.00015""",
1363,4230-2005,میکرومی خارج دیجیتال با شفت — 0-25mm/0-1,conflict,4230-2005-A,,,,"conflict_ranges:['0-25/0-1""', '0-25mm/1']"
1364,4230-2010,/ میکرومیی خارج دیجیتال با شفت,matched,4230-2010-A,"25-50/1""-2""","0.001/0.00005""",,
1365,4230-2015,میکرومی خارج دیجیتال با شفت — 0-75mm/2-3,matched,4230-2015-A,"50-75/2""-3""","0.001/0.00005""",,
1366,4230-2020,میکرومی خارج دیجیتال با شفت,matched,4230-2020-A,"75-100/3""-4""","0.001/0.00005""",,
1367,4230-2025,میکرومی خارج دیجیتال با شفت — 0-125mm/4-5,matched,4230-2025-A,"100-125/4""-5""","0.001/0.00005""",,
1368,4230-2030,/ میکرومیی خارج دیجیتال با شفت,matched,4230-2030-A,"125-150/5""-6""","0.001/0.00005""",,
1369,4311-8103,میکرومی داخل سنج لوله ای — 0-63mm,matched,4311-8103,50-63,0.01,,
1370,4311-8106,میکرومی داخل سنج لوله ای 1 — 0-100mm,matched,4311-8106,50-100,0.01,,
1371,4311-8107,میکرومی داخل سنج لوله ای 2 — 0-150mm,matched,4311-8107,50-150,0.01,,
1372,4311-8109,میکرومی داخل سنج لوله ای 3 — 0-300mm,matched,4311-8109,50-300,0.01,,
1373,4311-8111,میکرومی داخل سنج لوله ای 3 — 0-500mm,matched,4311-8111,50-500,0.01,,
1374,4311-8113,میکرومی داخل سنج لوله ای 5 — 0-600mm,matched,4311-8113,50-600,0.01,,
1375,4311-8118,میکرومی داخل سنج لوله ای 6 — 0-1000mm,matched,4311-8118,50-1000,0.01,,
1376,4311-8119,میکرومی داخل سنج لوله ای 6 — 0-1500mm,matched,4311-8119,50-1500,0.01,,
1377,4311-8120,میکرومی داخل سنج دو فک 4,unmatched,,,,,sku_not_in_pdf
1378,4400-0005,میکرومی لوله دیجیتال — 0-25mm/0-1,matched,4400-0005,"0-25/0-1""","0.001/0.00005""",±0.003,
1379,4400-0010,میکرومی لوله دیجیتال — 0-25mm/0-1,matched,4400-0010,"0-25/0-1""","0.001/0.00005""",±0.003,
1380,4410-1105,میکرومیخارج دیجیتال دسته فلزی ضد آب ( IP65سه دکمه) — 0-25mm/0-1,conflict,4410-1105-A,,,,"conflict_ranges:['0-25/0-1""', '0-25mm/1']"
1381,4410-1110,میکرومیخارج دیجیتال دسته فلزی ضد آب ( IP65سه دکمه) — 0-1110mm,matched,4410-1110-A,"25-50/1-2""","0.001/0.00005""","0.003/0.00015""",
1382,4410-1115,میکرومیخارج دیجیتال دسته فلزی ضد آب ( IP65سه دکمه) — 0-75mm/2-3,matched,4410-1115-A,"50-75/2-3""","0.001/0.00005""","0.004/0.00015""",
1383,4410-1120,میکرومی خارج — 0-1120mm,matched,4410-1120-A,"75-100/3-4""","0.001/0.00005""","0.004/0.00015""",
1384,4410-1125,میکرومی خارج — 0-125mm/4-5,matched,4410-1125,"100-125/4-5""","0.001/0.00005""","0.005/0.0002""",
1385,4411-3210,میکرومی داخل سنج سه فک ست,matched,4411-3210,150-175mm,0.006,,
1386,4411-3215,میکرومی داخل سنج سه فک ست,matched,4411-3215,175-200mm,0.006,,
1387,4411-3220,میکرومی داخل سنج سه فک ست,matched,4411-3220,200-225mm,0.001,,
1388,4411-5101,میکرومیی داخل سنج سه فک,matched,4411-5101,6-8mm,0.001,,
1389,4411-5102,میکرومی داخل سنج سه فک 1,matched,4411-5102,8-10mm,0.001,,
1390,4411-5103,میکرومی داخل سنج سه فک 1 — 0-12mm,matched,4411-5103,10-12mm,0.001,,
1391,4411-5104,میکرومی داخل سنج سه فک 3,matched,4411-5104,12-16mm,0.001,,
1392,4411-5105,میکرومی داخل سنج سه فک 3,matched,4411-5105,16-20mm,0.001,,
1393,4411-5106,میکرومی داخل سنج سه فک 5 — 0-25mm,matched,4411-5106,20-25mm,0.001,,
1394,4411-5107,میکرومی داخل سنج سه فک 5,matched,4411-5107,25-30mm,0.001,,
1395,4411-5108,میکرومی داخل سنج سه فک 7 — 0-40mm,matched,4411-5108,30-40mm,0.001,,
1396,4411-5109,میکرومی داخل سنج سه فک 8 — 0-50mm,matched,4411-5109,40-50mm,0.001,,
1397,4411-5110,میکرومی داخل سنج سه فک 9 — 0-63mm,matched,4411-5110,50-63mm,0.001,,
1398,4411-5111,میکرومی داخل سنج سه فک 10,matched,4411-5111,62-75mm,0.001,,
1399,4411-5112,میکرومی داخل سنج سه فک 11,matched,4411-5112,75-88mm,0.001,,
1400,4411-5113,میکرومی داخل سنج سه فک 12,matched,4411-5113,87-100mm,0.001,,
1401,4411-5114,میکرومی داخل سنج سه فک 12 — 0-125mm,matched,4411-5114-H,100-125mm,0.001,,
1402,4411-5115,میکرومی داخل سنج سه فک 14,matched,4411-5115-H,125-150mm,,,"conflict_resolution:['0.001', '0.005']|partial_consensus_range_only"
1403,4411-5116,میکرومی داخل سنج سه فک 14 — 0-175mm,matched,4411-5116-H,150-175mm,,,"conflict_resolution:['0.001', '0.006']|partial_consensus_range_only"
1404,4411-5117,میکرومی داخل سنج سه فک 16,matched,4411-5117-H,175-200mm,,,"conflict_resolution:['0.001', '0.006']|partial_consensus_range_only"
1405,4411-5118,میکرومی داخل سنج سه فک 16 — 0-225mm,matched,4411-5118-H,200-225mm,0.001,,
1406,4411-5119,میکرومی داخل سنج سه فک 18,matched,4411-5119-H,225-250mm,,,"conflict_resolution:['0.001', '0.007']|partial_consensus_range_only"
1407,4411-5120,میکرومی داخل سنج سه فک 19 — 0-275mm,matched,4411-5120-H,250-275mm,,,"conflict_resolution:['0.001', '0.008']|partial_consensus_range_only"
1408,4411-5121,میکرومی داخل سنج سه فک 20,matched,4411-5121-H,275-300mm,,,"conflict_resolution:['0.001', '0.008']|partial_consensus_range_only"
1409,4411-9205,میکرومی داخل سنج سه فک ست — 0-12mm,matched,4411-9205,125-150mm,0.005,,
1410,4440-1005,میکرومی لوله دو رس کروی 1 — 0-25mm,matched,4440-1005,0-25,0.01,,
1411,4440-1010,میکرومیلوله (نوک نوع ) A 1 — 0-25mm,matched,4440-1010,0-25,0.01,,
1412,4510-1005,میکرومی داخل سنج لوله ای 8 — 0-25mm,matched,4510-1005,0-25,0.01,,
1413,4511-5101,میکرومی داخیل سه فک دیجیتال,matched,4511-5101,6-8,"0.001/0.00005""",,
1414,4511-5102,میکرومی داخیل سه فک دیجیتال,matched,4511-5102,8-10,"0.001/0.00005""",,
1415,4511-5103,میکرومی داخیل سه فک دیجیتال — 0-12mm,matched,4511-5103,10-12,"0.001/0.00005""",,
1416,4511-5104,میکرومی داخیل سه فک دیجیتال,matched,4511-5104,12-16,"0.001/0.00005""",,
1417,4511-5105,میکرومی داخیل سه فک دیجیتال,matched,4511-5105,16-20,"0.001/0.00005""",,
1418,4511-5106,ی داخیل سه فک دیجیتال — 0-25mm,matched,4511-5106,20-25,"0.001/0.00005""",,
1419,4511-5107,میکرومی داخیل سه فک دیجیتال,matched,4511-5107,25-30,"0.001/0.00005""",,
1420,4511-5108,ی داخیل سه فک دیجیتال — 0-40mm,matched,4511-5108,30-40,"0.001/0.00005""",,
1421,4511-5109,میکرومی داخیل سه فک دیجیتال — 0-50mm,matched,4511-5109,40-50,"0.001/0.00005""",,
1422,4511-5110,میکرومی داخیل سه فک دیجیتال — 0-63mm,matched,4511-5110,50-63,"0.001/0.00005""",,
1423,4511-5111,میکرومی داخیل سه فک دیجیتال,matched,4511-5111,62-75,"0.001/0.00005""",,
1424,4511-5112,میکرومی داخیل سه فک دیجیتال,matched,4511-5112,75-88,"0.001/0.00005""",,
1425,4511-5113,میکرومی داخیل سه فک دیجیتال,matched,4511-5113,87-100,"0.001/0.00005""",,
1426,4511-5114,میکرومی داخیل سه فک دیجیتال — 0-125mm,matched,4511-5114,50-100,"0.001/0.00005""",,
1427,4511-5115,ی داخیل سه فک دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1428,4511-5116,میکرومی داخیل سه فک دیجیتال — 0-175mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1429,4511-5117,ی داخیل سه فک دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1430,4511-5118,میکرومی داخیل سه فک دیجیتال — 0-225mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1431,4511-5119,ی داخیل سه فک دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1432,4511-5120,میکرومی داخیل سه فک دیجیتال — 0-275mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1433,4511-5121,میکرومی داخیل سه فک دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1434,4511-9205,میکرومی داخل دیجیتال سه فک با رینگ گیج IP54ضدآب ست,matched,4511-9205,6-12,"0.001/0.00005""",,
1435,4511-9210,میکرومی داخل دیجیتال سه فک با رینگ گیج IP54ضدآب ست,matched,4511-9210,12-20,"0.001/0.00005""",,
1436,4511-9215,ست میکرومی 2,matched,4511-9215,20-50,"0.001/0.00005""",,
1437,4550-1005,میکرومی چرخ دنده — 0-25mm,matched,4550-1005,0-25,0.01,,
1438,4570-0005,میکرومی چرخ دنده دیجیتال — 0-25mm/0-1,matched,4570-0005,"0-25/0-1""","0.001/0.00005""",±0.002,
1439,4610-1005,میکرومیی خارج سوزنر — 0-25mm,matched,4610-1005,0-25,0.01,,
1440,4610-1010,میکرومی خارج سوزن ( 30درجه) ی 2 — 0-1010mm,matched,4610-1010,25-50,0.01,,
1441,4610-1015,میکرومی خارج 3 — 0-75mm,matched,4610-1015,50-75,0.01,,
1442,4610-1020,میکرومی خارج 3 — 0-1020mm,matched,4610-1020,75-100,0.01,,
1443,4610-1405,میکرومی خارج 1 — 0-25mm,matched,4610-1405,0-25,0.01,,
1444,4611-8106,میکرومی عمق سنج صلیت — 0-25mm,matched,4611-8106,0-25,0.01,±0.004,
1445,4611-8110,میکرومی عمق سنج صلیت — 0-50mm,matched,4611-8110,0-50,0.01,,
1446,4611-8120,میکرومی عمق سنج صلیت — 0-100mm,matched,4611-8120,0-100,0.01,±0.006,
1447,4611-8125,ی عمق سنج صلیت با میله — 0-150mm,matched,4611-8125,0-150,0.01,±0.007,
1448,4620-2020,سوزن دیجیتال ی,unmatched,,,,,sku_not_in_pdf
1449,4620-5005,سوزن دیجیتال نوک 30 ی — 0-25mm/0-1,unmatched,,,,,sku_not_in_pdf
1450,4620-5010,سوزن دیجیتال نوک 30 ی,unmatched,,,,,sku_not_in_pdf
1451,4620-5015,سوزن دیجیتال نوک 30 ی — 0-75mm/2-3,unmatched,,,,,sku_not_in_pdf
1452,4706-0002,میکرومیهای خارج — 0-200mm/4-8,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1453,4706-0003,میکرومیهای خارج — 0-300mm/8-12,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1454,4706-0011,ی IP65با نوک میکرومی — 0-150mm/6,matched,4706-0011,0-150,"0.001/0.00005""",±0.003,
1455,4706-0012,میکرومیهای خارج — 0-300mm/6-12,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1456,4710-1205,عمق سنج کوچک دیجیتال (الستیک) میله ای — 0-25mm/0-1,matched,4710-1205,"0-25/0-1""","0.03/0.0015""",,
1457,4710-2205,میکرومی عمق سنج صلیت — 0-150mm/0-6,matched,4710-2205,"0-150/0-6""","0.001/0.00005""","0.005/0.0002""",
1458,4800-0005,میکرومی خارج — 0-400mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1459,4800-0010,میکرومی 1 — 0-500mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1460,4800-0015,میکرومی خارج 2 — 0-600mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1461,4800-0020,میکرومی خارج 3 — 0-700mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1462,4800-0025,میکرومی خارج 4 — 0-800mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1463,4800-0030,میکرومی خارج 5 — 0-900mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1464,4800-0035,میکرومی 6 — 0-1000mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1465,4801-0003,میکرومی خارج — 0-150mm,matched,4801-0003,0-150,0.01,,
1466,4801-0004,میکرومی خارج 1 — 0-200mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1467,4801-0005,میکرومی خارج 2 — 0-300mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
